"","Record_id","Paper_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Excluded_during_data_extraction","Changes_after_second_screening","Final_comments","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","missingSocial_h2","missingVP","missingVIGE","missingMean","missingVA","missingIdRecords"
"57","56","IGE0347","1993","Gallus gallus","birds","White Leghorns, Denmark","captive","experimental","F","juv",304,304,304,20,88,NA,2,"Performing bouts of feather pecks 38 weeks","behaviour","no",NA,"no",NA,NA,"no","yes",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0,NA,NA,NA,NA,NA,NA,"Table 2; Table 3","DF","Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation","MM","MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""",  3) are they really juvenile at 38 weeks?, 4) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","no","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",NA,"log",NA,"gaussian",NA,NA,"Gallus gallus","WhiteLeghorns_DK",15,"Revise",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"58","57","IGE0347","1993","Gallus gallus","birds","White Leghorns, Denmark","captive","experimental","F","juv",253,253,253,20,88,NA,2,"Performing feather pecks 69 weeks","behaviour","no",NA,"no",NA,NA,"no","yes",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.04,-0.17,NA,NA,NA,NA,NA,"Table 2; Table 3","DF","Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation","MM","MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) different group size """"each group of 20 birds"""",  4) are they really juvenile at 69 weeks?, 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","no","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",NA,"log",NA,"gaussian",NA,NA,"Gallus gallus","WhiteLeghorns_DK",15,"Revise",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"59","58","IGE0347","1993","Gallus gallus","birds","White Leghorns, Denmark","captive","experimental","F","juv",253,253,253,20,88,NA,2,"Performing bouts of feather pecks 69 weeks","behaviour","no",NA,"no",NA,NA,"no","yes",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0,NA,NA,NA,NA,NA,NA,"Table 2; Table 3","DF","Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation","MM","MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) different group size """"each group of 20 birds"""", 4) are they really juvenile at 69  weeks? 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","no","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",NA,"log",NA,"gaussian",NA,NA,"Gallus gallus","WhiteLeghorns_DK",15,"Revise",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"60","59","IGE0598","2001-2007","Sus scrofa","mammals","Institute of Pig Genetics, Netherlands","captive","experimental","both","juv",17053,15602,15602,435,542,NA,5,"average daily gain","development","no",251,"yes",61.18,NA,"no","yes",10.8,"0.071","7e-04",0.035,NA,0.058,0.053,0.089,NA,NA,NA,2286,3340,0.071,7e-04,-0.27,NA,NA,NA,0.147,0.147,"Table 4","DF","Table 4 gives lots of things after dividing by VP, so have multiplied by VP and given that value in the cell. V1 other is maternal genetic, V2 other is litter effect, V3 other is group (foster mum) effect. 49645 animals in pedigree, but 17053 piglets in actual dataset analysed.","MM","MM: we need to take into account to some of us didn't do the calculations with the info available at the paper.

","no","Added value for social heritability. Now updated all variance components to give what they reported in Table 4, and changed """"Variance standardised"""" to Y. Have left trait SD, residual variance, and phenotypic variance as they were, which menas that VA/VP would be tiny. But seems consistent with what we discussed",NA,"non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL",49,"Accept",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61","60","IGE0824",NA,"Drosophila melanogaster","arthropods","Dahomey stock","captive","experimental","F","ad",1139,1011,1011,16,48,48,1,"oviposition pre mating","reproduction","no",38.62,"no",15.7,NA,"no","yes",NA,"119.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.91,0.47,NA,NA,NA,NA,NA,NA,0.47,"Tables 1 & 2","DF","Note experiment was run in two blocks so summing numbers from each to get total samplesizes etc. I haven't included their analysis of post|pre given those traits are analysed independently","MM","MM: 1)group size =NA, because it is before mating with a male, 2) V ige, h2 male, COV dge-ige, r dge-ige = NA, not zero because it was not estimated


","no","Changed group size, V ige, COV dge-ige, & r dge-ige to NA. Set social heritability as NA",NA,"non_transf",NA,"gaussian",NA,"yes","Drosophila melanogaster","Dahomey_UK",59,"Revise",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"62","61","IGE0824",NA,"Drosophila melanogaster","arthropods","Dahomey stock","captive","experimental","F","ad",1139,1092,1092,16,48,48,1,"oviposition post mating","reproduction","no",82.87,"no",17.26,NA,"no","yes",2,"101.37","1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,290.96,0.35,0.004,-0.09,NA,-0.94,NA,NA,0.35,"Tables 1 & 2","DF","Note experiment was run in two blocks so summing numbers from each to get total samplesizes etc. I haven't included their analysis of post|pre given those traits are analysed independently. They report male h2 as 0.004 which is IGE heritability.","MM","MM: 1) to consider, I wrote NA to group size of 2, as this is the minimum and dont considered it as a group per se, 2) there is info on h2 male that we might want to use
","no","Entered male h2 as social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Drosophila melanogaster","Dahomey_UK",59,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63","62","IGE0824",NA,"Drosophila melanogaster","arthropods","Dahomey stock","captive","experimental","F","ad",1139,1094,1094,16,48,48,1,"copulation duration","reproduction","no",18.15,"no",4.03,NA,"no","yes",2,"1.33","2.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.88,0.08,0.13,-0.13,NA,-0.21,NA,NA,0.18,"Tables 1 & 2","DF","Note experiment was run in two blocks so summing numbers from each to et total samplesizes getc. I haven't included their analysis of post|pre given those traits are analysed independently. They report male h2 as 0.13 which is IGE heritability.","MM","MM: to consider, I wrote NA to group size of 2, as this is the minimum and dont considered it as a group per se, 2) there is info on h2 male that we might want to use
","no","Entered male h2 as social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Drosophila melanogaster","Dahomey_UK",59,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64","63","IGE0889",NA,"Gallus gallus","birds","Hendrix genetics","captive","experimental","F","ad",6276,6276,6276,68,537,NA,5,"survival days","survival","no",352.3,"no",NA,"W1","no","yes",4,"915","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,12847,NA,NA,0.18,NA,62,NA,50,0.19,"Table 5","DF","I calculated overall trait means from the laying house values in Table 3. They give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5","MM","AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) MM 1) I get a trait mean = 355, 2) r pe is not a true PE, right? It is the correlation between the residuals of the group members
","no","Changed Population to """"Hendrix genetics"""". Changed r PE-PE(S) to NA. Added NA for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Gallus gallus","HendrixGenetics_NL",63,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","64","IGE0889",NA,"Gallus gallus","birds","Hendrix genetics","captive","experimental","F","ad",6916,6916,6916,68,537,NA,5,"survival days","survival","no",325.7,"no",NA,"WB","no","yes",4,"1917","273",NA,NA,NA,NA,NA,NA,NA,NA,NA,20111,NA,NA,-0.31,NA,-228,NA,55,0.15,"Table 5","DF","I calculated overall trait means from the laying house values in Table 3. Thy give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5","MM","AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) 1) I get a trait mean = 326, 2) r pe is not a true PE, right? It is the correlation between the residuals of the group members
","no","Changed Population to """"Hendrix genetics"""". Changed r PE-PE(S) to NA. Added NA for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Gallus gallus","HendrixGenetics_NL",64,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66","65","IGE0889",NA,"Gallus gallus","birds","Hendrix genetics","captive","experimental","F","ad",3588,3588,3588,38,294,NA,5,"survival days","survival","no",373.4,"no",NA,"WF","no","yes",4,"246","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,13999,NA,NA,0.11,NA,13,NA,30,0.06,"Table 5","DF","I calculated overall trait means from the laying house values in Table 3. They give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5","MM","AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) MM: 1) 294 dams, 2) I get a trait mean = 373, 3) r pe is not a true PE, right? It is the correlation between the residuals of the group members
","no","Changed Population to """"Hendrix genetics"""". Changed #dams to 294. Changed r PE-PE(S) to NA. Added NA for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Gallus gallus","HendrixGenetics_NL",65,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","66","IGE0572","2012-2014","Oryctolagus cuniculus","mammals","IRTA, Spain","captive","experimental","both","juv",7701,2687,2687,NA,NA,1106,NA,"Average daily gain week 1","development","no",26.51,"no",10.25,NA,"no","yes",8,"8.03","0.43",NA,NA,8.7,23.09,5.68,NA,NA,NA,NA,NA,0.17,0.44,NA,NA,NA,NA,NA,0.19,"Figs. 1-4, Tables 1 & 2","DF","V other 1 is litter, V other 2 is """"pseudo-environmental variance"""", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were """"close to those obtained with the SAD model in the data analysis step"""". No idea what """"close"""" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.44.","MM","MM: to consider, there is info on h2 male. Post-2nd revision note: this paper uses potenitally the same data than IGE0537
","no","Added note about male h2. Added value for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Oryctolagus cuniculus","Irta_ESP",48,"Accept",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"68","67","IGE0572","2012-2014","Oryctolagus cuniculus","mammals","IRTA, Spain","captive","experimental","both","juv",7701,2624,2624,NA,NA,1106,NA,"Average daily gain week 2","development","no",37.54,"no",11.49,NA,"no","yes",8,"13","0.26",NA,NA,5.97,28.18,7.59,NA,NA,NA,NA,NA,0.24,0.23,NA,NA,NA,NA,NA,0.09,"Figs. 1-4, Tables 1 & 2","DF","V other 1 is litter, V other 2 is """"pseudo-environmental variance"""", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were """"close to those obtained with the SAD model in the data analysis step"""". No idea what """"close"""" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.23
","MM","MM: to consider, there is info on h2 male
","no","Added note about male h2. Added value for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Oryctolagus cuniculus","Irta_ESP",48,"Accept",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"69","68","IGE0572","2012-2014","Oryctolagus cuniculus","mammals","IRTA, Spain","captive","experimental","both","juv",7701,2280,2280,NA,NA,1106,NA,"Average daily gain week 3","development","no",42.02,"no",11.1,NA,"no","yes",8,"13.47","0.23",NA,NA,4.51,34.5,9.73,NA,NA,NA,NA,NA,0.22,0.22,NA,NA,NA,NA,NA,0.05,"Figs. 1-4, Tables 1 & 2","DF","V other 1 is litter, V other 2 is """"pseudo-environmental variance"""", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were """"close to those obtained with the SAD model in the data analysis step"""". No idea what """"close"""" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.22
","MM","MM: 1) trait SD = 11.1, 2)  to consider, there is info on h2 male
","no","Changed Trait SD to 11.10. Added note about male h2. Added value for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Oryctolagus cuniculus","Irta_ESP",48,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"70","69","IGE0572","2012-2014","Oryctolagus cuniculus","mammals","IRTA, Spain","captive","experimental","both","juv",7701,1944,1944,NA,NA,1106,NA,"Average daily gain week 4","development","no",40.11,"no",13.27,NA,"no","yes",8,"10.26","0.22",NA,NA,3.93,42.53,12.55,NA,NA,NA,NA,NA,0.15,0.15,NA,NA,NA,NA,NA,0.06,"Figs. 1-4, Tables 1 & 2","DF","V other 1 is litter, V other 2 is """"pseudo-environmental variance"""", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were """"close to those obtained with the SAD model in the data analysis step"""". No idea what """"close"""" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.15","MM","MM: to consider, there is info on h2 male
","no","Added note about male h2. Added value for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Oryctolagus cuniculus","Irta_ESP",48,"Accept",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"71","70","IGE0572","2012-2014","Oryctolagus cuniculus","mammals","IRTA, Spain","captive","experimental","both","juv",7701,1720,1720,NA,NA,1106,NA,"Average daily gain week 5","development","no",41.2,"no",10.9,NA,"no","yes",8,"6.2","0.31",NA,NA,4.19,52.78,16.35,NA,NA,NA,NA,NA,0.08,0.08,NA,NA,NA,NA,NA,0.12,"Figs. 1-4, Tables 1 & 2","DF","V other 1 is litter, V other 2 is """"pseudo-environmental variance"""", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were """"close to those obtained with the SAD model in the data analysis step"""". No idea what """"close"""" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.08","MM","MM: to consider, there is info on h2 male
","no","Added note about male h2. Added value for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Oryctolagus cuniculus","Irta_ESP",48,"Accept",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"78","71","IGE0657",NA,"Coturnix japonica","birds","Purdue Poultry Research Centre","captive","experimental","both","ad",NA,NA,NA,NA,NA,NA,NA,"day 43 weight","morphology","no",NA,"no",NA,NA,"no","yes",16,"24.6","1.04",NA,NA,NA,NA,NA,NA,NA,NA,124.5,NA,NA,NA,NA,0.09,-1.2,NA,NA,NA,"Table 1","DF","no sample size information","AST","I lean towards """"morphology"""" as trait category. For the sample sizes, if the authors do not reply to our email, we might be able to calculate it ourselves as number of cages (24) x number of individuals per cage (16) adjusted by mortality, which according to Muir 2005 seems to be 5% for groups of 16. Then, number of records and individuals would be ca. 365.","no","Changed Trait category to """"morphology"""". Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,NA,"Coturnix japonica","Purdue_US",53,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"79","72","IGE0654",NA,"Gallus gallus","birds","Hendrix Genetics","captive","experimental","F","ad",3800,3800,3800,36,287,NA,5,"survival days","survival","no",454,"no",122,NA,"no","yes",4,"960","132",NA,NA,NA,NA,NA,NA,NA,NA,NA,13725,NA,NA,NA,NA,99,NA,2742,0.2,"Table 2","DF","They report a residual correlation of 0.09 but I haven't included that in the r PE-PE(S) column as it includes covariance due to shared cage effects I think not just non-genetic interactions among cage mates.","AST",NA,"no","Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"yes","Gallus gallus","HendrixGenetics_NL",52,"Accept",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80","73","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration - day 1","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.2039","0.0045",NA,NA,0.081,0.0159,NA,NA,NA,NA,0.5343,1,NA,NA,0.4481,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81","74","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration - day 2","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.1574","0.0162",NA,NA,0.0601,0.0144,NA,NA,NA,NA,0.513,1,NA,NA,0.3172,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82","75","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration - day 3","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.1167","0",NA,NA,0.0554,0.0187,NA,NA,NA,NA,0.5341,1,NA,NA,NA,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"83","76","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration - day 4","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.1715","0.002",NA,NA,0.0636,0.0101,NA,NA,NA,NA,0.5041,1,NA,NA,-0.1562,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"84","77","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration - day 5","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.1779","9e-04",NA,NA,0.05047,0.0125,NA,NA,NA,NA,0.5001,1,NA,NA,-0.2334,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused; V other 1 should be 0.0547","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"85","78","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running duration- day 6","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.1666","0.014",NA,NA,0.0511,0.0018,NA,NA,NA,NA,0.5013,1,NA,NA,-0.4091,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused; VIGE should be 0.0149","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"86","79","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running speed - day 1","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.3644","0",NA,NA,0.0685,0.0072,NA,NA,NA,NA,0.6744,1,NA,NA,NA,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87","80","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running speed - day 2","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.3595","3e-04",NA,NA,0.0711,0,NA,NA,NA,NA,0.692,1,NA,NA,-0.5108,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88","81","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running speed - day 3","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.3553","1e-04",NA,NA,0.0611,0,NA,NA,NA,NA,0.7157,1,NA,NA,0.8463,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"89","82","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running speed - day 4","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.3264","3e-04",NA,NA,0.0667,0,NA,NA,NA,NA,0.726,1,NA,NA,0.8663,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90","83","IGE0468",NA,"Mus musculus","mammals","Wheel running mice","captive","experimental","both","ad",11420,11420,11420,NA,NA,780,78,"Running speed- day 5","behaviour","yes",0,"yes",1,"Control line","yes","yes",2,"0.3222","6e-04",NA,NA,0.0718,0,NA,NA,NA,NA,0.7288,1,NA,NA,0.9402,NA,NA,NA,NA,NA,"Tables 2 & 3, & S2 & S3 in ESM.","DF","V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.","AST","I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.","no","Added note about not including distance as it is speed * duration. Added """"NA"""" for social heritability",NA,"non_transf",NA,"gaussian",NA,"no","Mus musculus","WheelRunning_CAN",25,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
