Paper_id,X,Record_id,Year,Species_name,Taxon,Population,Population_type,Study_type,Sex,Age,N_id_pedigree,N_records,N_id_w_records,N_sires,N_dams,N_families,Depth_of_ped,Trait_name,Trait_category,Mean_standardized,Trait_mean,Variance_standardized,Trait_sd,Treatment_group,Fixed_eff_of_partner_trait,Other_fixed_eff,Mean_group_size,Va,V_ige,Vpe_foc,Vpe_soc,V_other_1,V_other_2,V_other_3,V_other_4,V_other_5,V_other_6,V_residual,Total_v_phen,H2,Social_h2,R_a_ige,R_pe_pe_soc,Cov_a_ige,Cov_pe_pe_soc,V_tbv,T2,Data_location,Screener_id,Notes,Second_screener_id,Second_screener_notes,Changes_after_second_screening,Data_transf,Trait_mean_transf,Trait_error_distrib,Estimates_scale_nongauss,Vp_group_formula,Species_name.2,Population2,Group_id,Second_screener_original_decision,missingSocial_h2,missingVP,missingVIGE,missingMean,missingVA,missingIdRecords,Total_v_phen2,Trait_mean2,Reported_values_flag,Excluded_after_control,social_h2,Year_of_Publication
IGE0243,120,121,1999-2005,Sus scrofa,mammals,University of Nebraska Agricultural Research Development Center Swine Research Farm,captive,experimental,both,ad,61151,3512,3512,NA,NA,NA,25,longissimus muscle area (LM),morphology,no,30.75,no,4.31,NA,no,yes,10,4.02,0.01,NA,NA,1.2,0.7,NA,NA,NA,NA,8.56,14.1,0.285,0.001,-0.628,NA,-0.15,NA,4.406,NA,Table 3 (model 2),FS,"age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered permanent environment?)",DF,"Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.","added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA",non_transf,NA,gaussian,NA,yes,Sus scrofa,AgriculturalResearch_US,10,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.1,30.75,NA,NA,NA,2010
IGE0253,40,40,2001-2009,Bos taurus,mammals,"Valle Aosta, Italy",captive,experimental,F,both,17224,23988,8259,1156,NA,NA,NA,dyadic fights (fighting ability),behaviour,no,23.0091,no,NA,NA,no,yes,2,0.015,0.178,0.019,NA,NA,NA,NA,NA,NA,NA,1.401,1.613,0.009,0.11,NA,NA,NA,NA,NA,0.12,Table 4,AST,"Aosta Chestnut and Aosta Black Pied cattle used; # id/pedigree set to 17224 but unsure why 133699 (27638+106061) is also reported in Table 1; from the methods: """"the associative genetic variance was obtained by multiplying the estimated component by the average number of competitors (n = 1.886) [...] and its covariance with the direct genetic component was assumed to be equal to 0""""; data extracted from model not accounting for inbreeding since that model had the least number of fixed effects; since cov A-IGE is set to 0 by the authors, τ2 (σ tbv/VP) defined by the authors as the sum of both direct and indirect heritability; ",MM,"MM: 1) depth of pedigree doesnt equal to study period, 2) to consider that there is info on h2 male, 3) Im unsure whether """"age of cows"""" is not only about the focal, tricky; 4) I dont understand neither the pedigree numbers, should we dicuss it in person?",depth of pedigree set to NA; fixed eff of partner trait set to no,non_transf,NA,gaussian,NA,NA,Bos taurus,ValleAosta_IT,11,Revise,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.2414,23.0091,NA,NA,NA,2012
IGE0291,117,118,2000-2003,Sus scrofa,mammals,"Pig Improvement Company, Franklin, KY, US",captive,experimental,both,ad,43585,11235,11235,770,3850,NA,NA,average daily gain (ADG),development,no,991.5,no,120.5,NA,no,yes,15,2410,18,NA,126,971,NA,NA,NA,NA,NA,6916,NA,0.2,0.001,NA,NA,48,NA,NA,NA,Table 2 (model 4),FS,"# dams is based on 770 sires having 5 dams on average; formula for estimating VP is provided in Table 2 caption; Model 4 was chosen because it also reports VPE soc and likelihood of models and estimates are similar, I didn't pick the best fitting model because it did not estimate most of the variances; V other 1 is litter ",DF,"Calc VP as 12313, seems worth entering otherwise we might miss it if I record this as """"Accept""""",added h2_social,non_transf,NA,gaussian,NA,yes,Sus scrofa,PigImprovementCompany_US,12,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,991.5,NA,NA,NA,2008
IGE0292,146,147,2009-2012,Neovison vison,mammals,"Research Centre Foulum, Denmark",captive,experimental,both,ad,2806,1969,1969,136,349,NA,5,neck bite marks,behaviour,no,2.02,no,2.1,NA,no,yes,3.18,1.67,0.15,NA,NA,1.3,2.3,NA,NA,NA,NA,NA,4.4754,NA,NA,0.86,NA,0.24,NA,0.86,0.48,Table 4,FS,groups vary between 2 and 4 but they use n=3.18 for estimating TBV; trait mean and SD are given split by sex in table 2; VP is calculated in a separate model; other var 1 and 2 are variance attributed to residual of male and female (so they could be added to give Vres?); PEr of group mates of the same sex is also given additionally in Table 4 (can this be added/converted)?; note that the paper uses the same data as Alemu et al. 2014b (but runs different models) and thus it may be a replication,MM,"MM: 1) total Va is 1.67, 2)response variables were log-transformed, important to write down in case we need it later on, 3) I would not pull together data from different models, i.e., phenotypic variance. , and also, not sum up residuals until we have a final decision on how to proceed with that
4) I'd say age = adult, 5) important to flag the use of the same dataset than Alemu 2014, yes. They are def. not independent
","mean and SD estimated after; VP set to NA, VA updated",log,no,gaussian,NA,NA,Neovison vison,Foulum_DK,13,Revise,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.4754,2.02,NA,NA,NA,2016
IGE0292,147,148,2009-2012,Neovison vison,mammals,"Research Centre Foulum, Denmark",captive,experimental,both,ad,2806,1969,1969,136,349,NA,5,body bite marks,behaviour,no,2.2,no,2.43,NA,no,yes,3.18,0.93,0.27,NA,NA,3.12,3.57,NA,NA,NA,NA,NA,5.9418,NA,NA,0.8,NA,0.4,NA,2.91,0.59,Table 4,FS,groups vary between 2 and 4 but they use n=3.18 for estimating TBV; trait mean and SD are given split by sex in table 2; VP is calculated in a separate model; other var 1 and 2 are variance attributed to residual of male and female (so they could be added to give Vres?); PEr of group mates of the same sex is also given additionally in Table 4 (can this be added/converted)?; note that the paper uses the same data as Alemu et al. 2014b (but runs different models) and thus it may be a replication,MM,"MM:  2)response variables were log-transformed, important to write down in case we need it later on, 3) I would not pull together data from different models, i.e., phenotypic variance. , and also, not sum up residuals until we have a final decision on how to proceed with that
4) I'd say age = adult, 5) important to flag the use of the same dataset than Alemu 2014, yes. They are def. not independent
","mean and SD estimated after; VP set to NA, ",log,no,gaussian,NA,NA,Neovison vison,Foulum_DK,13,Revise,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5.9418,2.2,NA,NA,NA,2016
IGE0292,148,149,2009-2012,Neovison vison,mammals,"Research Centre Foulum, Denmark",captive,experimental,both,ad,2806,1969,1969,136,349,NA,5,tail bite marks,behaviour,no,2.22,no,2.6,NA,no,yes,3.18,0.75,0.11,NA,NA,2.66,5.68,NA,NA,NA,NA,NA,6.7858,NA,NA,0.86,NA,0.25,NA,1.81,0.33,Table 4,FS,groups vary between 2 and 4 but they use n=3.18 for estimating TBV; trait mean and SD are given split by sex in table 2; VP is calculated in a separate model; other var 1 and 2 are variance attributed to residual of male and female (so they could be added to give Vres?); PEr of group mates of the same sex is also given additionally in Table 4 (can this be added/converted)?; note that the paper uses the same data as Alemu et al. 2014b (but runs different models) and thus it may be a replication,MM,"MM: 2)response variables were log-transformed, important to write down in case we need it later on, 3) I would not pull together data from different models, i.e., phenotypic variance. , and also, not sum up residuals until we have a final decision on how to proceed with that
4) I'd say age = adult, 5) important to flag the use of the same dataset than Alemu 2014, yes. They are def. not independent
","mean and SD estimated after; VP set to NA, ",log,no,gaussian,NA,NA,Neovison vison,Foulum_DK,13,Revise,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6.7858,2.22,NA,NA,NA,2016
IGE0294,187,188,2001-2004,Sus scrofa,mammals,"Smithfield Premium Genetics Group (Roanoke Rapids, NC)",captive,experimental,F,ad,8004,4946,4946,NA,NA,2409,NA,average daily weight,development,no,611,no,46,NA,no,no,13.7,265,50,NA,NA,168,90,NA,NA,NA,NA,1224,NA,0.15,0.03,NA,NA,NA,NA,NA,NA,Table 3,MM,"v1= litter variance
v2 = pen variance

pen group size varied within a range of 12 to 16 (averaging 13.7)",DF,"No fixed effect of partner? They include """"contemporary group"""" but I think that is """"farm-barn-batch""""; AST comment: change to Sus scrofa for consistency; consider calling the trait development for consistency throughout the dataset","changed to Sus scrofa and development trait, added social h2, changed to no social fixed effect",non_transf,NA,gaussian,NA,NA,Sus scrofa,Smithfield_US,14,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,611,NA,NA,NA,2005
IGE0347,52,53,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,310,310,310,20,88,NA,2,Performing feather pecks 6 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.15,0.6,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0347,53,54,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,310,310,310,20,88,NA,2,Performing bouts of feather pecks 6 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.15,0.21,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0347,54,55,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,304,304,304,20,88,NA,2,Performing feather pecks 38 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) are they really juvenile at 38 weeks?, 4) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0347,55,56,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,304,304,304,20,88,NA,2,Performing bouts of feather pecks 38 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""",  3) are they really juvenile at 38 weeks?, 4) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0347,56,57,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,253,253,253,20,88,NA,2,Performing feather pecks 69 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.04,-0.17,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) different group size """"each group of 20 birds"""",  4) are they really juvenile at 69 weeks?, 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0347,57,58,1993,Gallus gallus,birds,"White Leghorns, Denmark",captive,experimental,F,juv,253,253,253,20,88,NA,2,Performing bouts of feather pecks 69 weeks,behaviour,no,NA,no,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with """"performing"""" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: """"bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"""", 3) different group size """"each group of 20 birds"""", 4) are they really juvenile at 69  weeks? 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
","changed """"other fixed effects"""" to yes. Renamed variables as """"performing"""" rather than receiving. Set trait mean as """"NA"""" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",log,NA,gaussian,NA,NA,Gallus gallus,WhiteLeghorns_DK,15,Revise,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1997
IGE0348,16,16,1975-2012,Melospiza melodia,birds,"Mandarte Island, BC, Canada",wild,observational,F,ad,666,944,250,130,141,NA,NA,female liability for extra-pair reproduction,reproduction,no,0.285,no,NA,NA,yes,yes,2,1.54,0.48,0.31,0.15,0.24,0.75,0.04,NA,NA,NA,3,9.74,0.16,NA,NA,NA,0.18,NA,1.66,0.17,Table 3; Text pg 2366,AST,"binomial model (latent scale); fixed eff of partner trait = male inbreeding coeff and male age; pedigree from 1975-1992 was only social but was anyway used for the analyses (see supplements); data-scale heritabilities provided (see equation in pg 2363); V other 1 = pair ID, V other 2 = pair-year id, V other 3 = year id; #sires and #dams used despite being reported for a database that includes 4 more females than those used in the analysis (i.e. 250). We considered this to be too small of a difference to contact the authors about it.",DF,"Trait mean = 0.058, SD = 0.044 (table 1). IMO #sires = 130, # dams = 141 (from supp mat), N/A for # families. Total VP = 9.74.","Total V phen changed from NA to 9.74; #sires and #dams changed to 130 and 141, respectively, even though they refer to a slightly larger database (254 females vs 250 females included in final analyses); #families changed to NA; depth of ped changed to NA",non_transf,NA,binomial_logit,latent,yes,Melospiza melodia,MandarteIsland_CAN,16,Revise,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.74,0.285,NA,NA,NA,2014
IGE0380,41,41,2009-2011,Oreochromis niloticus,fish,"Aquaculture Extension Center, Jitra, Kedah State,Malaysia",captive,experimental,both,ad,37670,6330,6330,140,167,NA,10,harvest live weight,morphology,no,166,no,58.97,NA,yes,yes,16,0.036,7.00E-05,NA,NA,0.016,0.01,NA,NA,NA,NA,0.04,0.103,NA,NA,-0.38,NA,-6.00E-04,NA,0.033,0.32,Table 5,AST,"Year assigned as 2009-2011 because year 2012 was excluded from the analyses; harvest weight was transformed to natural logarithm; fixed eff of partner trait set to yes because one fixed effect is average age at harvest of the group mates; V other 1 = group effects, V other 2 = non-genetic kin effects; group size is accounted for when estimating τ2",FS,note that model 3 is not the one with lowest AIC but it's the most complete  one that estimates DGE and IGE (others that include maternal effects don't have either DGE or IGE),NA,log,no,gaussian,NA,yes,Oreochromis niloticus,Jitra_MY,17,Accept,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.103,166,NA,NA,NA,2016
IGE0385,196,197,2001-2015,Sus scrofa,mammals,"Yorkshire Sunjin, Danyang, Korea,",captive,experimental,both,ad,37858,33120,33120,385,2520,NA,3,average daily gain,development,no,802,no,93,NA,no,yes,8.2,2437,18,NA,NA,298,249,32,NA,NA,NA,3816,7163,0.34,NA,0.03,NA,5,NA,3464,0.48,Table 2-3,MM,"v1= group variance
v2= birth litter variance
v3= social early-life E variance
",DF,I think there are 37858 ID in pedigree and 33120 ID with records; AST comment: change to Sus scrofa for consistency; consider calling the trait development for consistency throughout the dataset,"changed to Sus scrofa and development trait, changed to 37858 ID in pedigree and 33120 ID with records; changed social fixed effect to no",non_transf,NA,gaussian,NA,yes,Sus scrofa,YorkshireSunjin_KOR,18,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7163,802,NA,NA,NA,2019
IGE0389,102,103,NA,Eucalyptus globulus,plants,"Manjimup, Western Australia",captive,experimental,both,ad,9450,NA,9107,115,95,570,2,Diameter at breast height (2 years),morphology,no,98.4,no,NA,NA,no,yes,7.72,78.67,5.05,NA,NA,16.76,16.47,2.42,1.04,NA,NA,138.15,239.96,NA,NA,-0.91,NA,NA,26.52,19.52,0.081,"Tables 1, 3, & 4",DF,"Appears to be same dataset as IGE0418.
Uses intensity of interaction factors, which need to be used in calc of TBV. So the value they give is correct I think but if we calc it from values in this table we won't get the same answer.V other 1 is full-sib family variance in diallel cross. V other 2 is full-sib family variance in factorial cross. V other 3 is maternal. V other 4 is variance asociated with reciprocal effects.
covPE-PE(S) is corelated residual variance associated with spatially dependent process.",AST,"study coordinates should read 34°13'34''S, 116°8'37''E; trait SD presumably available from IGE0418",Updated format of coordinates. NA,non_transf,NA,gaussian,NA,yes,Eucalyptus globulus,Manjimup_AUS,19,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,239.96,98.4,NA,NA,NA,2013
IGE0389,103,104,NA,Eucalyptus globulus,plants,"Manjimup, Western Australia",captive,experimental,both,ad,9450,NA,8913,115,95,570,2,Diameter at breast height (4 years),morphology,no,135.1,no,NA,NA,no,yes,7.56,190.89,28.22,NA,NA,20.6,25.46,1.24,6.51,NA,NA,275.37,517.68,NA,NA,-0.93,NA,NA,91.04,27.74,0.054,"Tables 1, 3, & 4",DF,"Appears to be same dataset as IGE0418.
Uses intensity of interaction factors, which need to be used in calc of TBV. So the value they give is correct I think but if we calc it from values in this table we won't get the same answer.V other 1 is full-sib family variance in diallel cross. V other 2 is full-sib family variance in factorial cross. V other 3 is maternal. V other 4 is variance asociated with reciprocal effects.
covPE-PE(S) is corelated residual variance associated with spatially dependent process.",AST,"study coordinates should read 34°13'34''S, 116°8'37''E",Updated format of coordinates. NA,non_transf,NA,gaussian,NA,yes,Eucalyptus globulus,Manjimup_AUS,19,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,517.68,135.1,NA,NA,NA,2013
IGE0389,104,105,NA,Eucalyptus globulus,plants,"Manjimup, Western Australia",captive,experimental,both,ad,9450,NA,9107,115,95,570,2,Mycosphaerella leaf disease,metabolism & physiology,no,48.03,no,NA,NA,no,yes,7.72,73.34,1.51,NA,NA,1.6,6.26,0.33,4.51,NA,NA,104.08,186.61,NA,NA,0.8,NA,NA,33.38,125.58,0.672,"Tables 1, 3, & 4",DF,"Appears to be same dataset as IGE0418.
Uses intensity of interaction factors, which need to be used in calc of TBV. So the value they give is correct I think but if we calc it from values in this table we won't get the same answer.V other 1 is full-sib family variance in diallel cross. V other 2 is full-sib family variance in factorial cross. V other 3 is maternal. V other 4 is variance asociated with reciprocal effects.
covPE-PE(S) is corelated residual variance associated with spatially dependent process.",AST,"study coordinates should read 34°13'34''S, 116°8'37''E; trait SD presumably available from IGE0418",Updated format of coordinates. NA,arcsin,no,gaussian,NA,yes,Eucalyptus globulus,Manjimup_AUS,19,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,186.61,48.03,NA,NA,NA,2013
IGE0391,197,198,NA,Sus scrofa,mammals,"experimental farm of Institute for Pig Genetics (IPG) and experimental farm of the Animal Science Group (ASG), Netherlands",captive,experimental,F,ad,33764,17372,7176,528,623,NA,3,daily gain,development,no,862,no,95,NA,no,yes,8.5,NA,NA,NA,NA,0.04,0.09,0.16,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,2654,0.34,Table 3 & 5,MM,"v1= common enviroment effects
v2= pen effets
v3=barn within comptemporary group effects

DIDNT ESTIMATE IGES SEPARATED FROM DGES

",DF,AST comment: change to Sus scrofa for consistency; consider calling the trait development for consistency throughout the dataset,changed to Sus scrofa and development trait,non_transf,NA,gaussian,NA,NA,Sus scrofa,PigGenetics_NL,20,Revise,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,862,NA,NA,NA,2013
IGE0391,198,199,NA,Sus scrofa,mammals,"experimental farm of Institute for Pig Genetics (IPG) and experimental farm of the Animal Science Group (ASG), Netherlands",captive,experimental,F,ad,33764,22721,7176,528,623,NA,3,net daily gain,development,no,853,no,91,NA,no,yes,8.5,NA,NA,NA,NA,0.04,0.1,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2117,0.32,Table 3 & 5,MM,"v1= common enviroment effects
v2= pen effets
v3=barn within comptemporary group effects

DIDNT ESTIMATE IGES SEPARATED FROM DGES

",DF,AST comment: change to Sus scrofa for consistency; consider calling the trait development for consistency throughout the dataset,changed to Sus scrofa and development trait,non_transf,NA,gaussian,NA,NA,Sus scrofa,PigGenetics_NL,20,Revise,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,853,NA,NA,NA,2013
IGE0391,199,200,NA,Sus scrofa,mammals,"experimental farm of Institute for Pig Genetics (IPG) and experimental farm of the Animal Science Group (ASG), Netherlands",captive,experimental,F,ad,33764,7723,7176,528,623,NA,3,feed intake,metabolism & physiology,no,2156,no,306,NA,no,yes,8.5,NA,NA,NA,NA,0.03,0.17,0.25,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,24568,0.35,Table 3 & 5,MM,"v1= common enviroment effects
v2= pen effets
v3=barn within comptemporary group effects

DIDNT ESTIMATE IGES SEPARATED FROM DGES

",DF,AST comment: change to Sus scrofa for consistency,changed to Sus scrofa,non_transf,NA,gaussian,NA,NA,Sus scrofa,PigGenetics_NL,20,Revise,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,2156,NA,NA,NA,2013
IGE0406,125,126,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",captive,experimental,F,ad,NA,418,418,60,120,NA,NA,"Z,Z-5,9-C25:2",metabolism & physiology,no,NA,no,NA,NA,no,yes,2,0.187,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",updated pedigree stats; sex assigned to F and sample size reported for F,non_transf,NA,gaussian,NA,NA,Drosophila serrata,Forster_AUS,21,Revise,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,2005
IGE0406,126,127,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",captive,experimental,F,ad,NA,418,418,60,120,NA,NA,Z-9-C25:1,metabolism & physiology,no,NA,no,NA,NA,no,yes,2,0.116,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",updated pedigree stats; sex assigned to F and sample size reported for F,non_transf,NA,gaussian,NA,NA,Drosophila serrata,Forster_AUS,21,Revise,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,2005
