"Paper_id","Record_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Changes_after_second_screening","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","Total_v_phen2","Trait_mean2","Reported_values_flag","Excluded_after_control","social_h2","Year_of_Publication","Total_v_phen_calc","Total_v_phen3","Social_h2_calc","Social_h2_2","H2_calc","H2_2","Social_h2_2_Zr","VZr","Social_h2_Zr","H2_2_Zr","I_a","I_ige","V_tbv_calc","V_ige_2","V_tbv_calc_2","V_tbv_2","T2_calc","T2_2","RDSUR","T2_new","R_a_ige_calc","R_a_ige_2","R_a_ige_2_Zr","Species_name.2.phylo"
"IGE0203","174","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2007,2007,73,100,100,3,"first dorsal length at r2","morphology","no",1.54,"no",0.35,NA,"yes","yes",7,9.45,0.14,NA,NA,0,0.014,NA,NA,NA,NA,NA,12.12,NA,NA,0.1,NA,0.03,NA,16.36,1.35,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",12.12,1.54,NA,NA,NA,2014,NA,12.12,0.0115511551155116,0.0115511551155116,0.77970297029703,0.77970297029703,0.012,0.000499001996007984,NA,1.045,3.98465171192444,0.0590318772136954,14.85,0.14,14.85,16.36,1.34983498349835,1.35,9.63,0.794554455445544,0.0260820265478651,0.1,0.1,"Gadus morhua"
"IGE0203","175","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2030,2030,73,100,100,3,"first dorsal length at r3","morphology","no",1.58,"no",0.41,NA,"yes","yes",7,6.13,0.03,NA,NA,0.51,0.15,NA,NA,NA,NA,NA,11.41,NA,NA,0.53,NA,0.23,NA,28.43,2.49,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",11.41,1.58,NA,NA,NA,2014,NA,11.41,0.00262927256792287,0.00262927256792287,0.537248028045574,0.537248028045574,0.003,0.000493339911198816,NA,0.6,2.45553597179939,0.0120173049190835,9.97,0.03,9.97,28.43,2.49167397020158,2.49,7.51,0.658194566170026,0.536336028031545,0.53,0.59,"Gadus morhua"
"IGE0203","176","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2010,2010,73,100,100,3,"second dorsal at r2","morphology","no",1.44,"no",0.22,NA,"yes","yes",7,1.31,0.003,NA,NA,0,0,NA,NA,NA,NA,NA,4.58,NA,NA,0.43,NA,0.03,NA,3.46,0.76,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",4.58,1.44,NA,NA,NA,2014,NA,4.58,0.000655021834061135,0.000655021834061135,0.286026200873362,0.286026200873362,0.001,0.00049825610363727,NA,0.294,0.631751543209877,0.00144675925925926,1.778,0.003,1.778,3.46,0.755458515283843,0.76,1.49,0.325327510917031,0.478547420417022,0.43,0.46,"Gadus morhua"
"IGE0203","177","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2035,2035,73,100,100,3,"second dorsal at r3","morphology","no",1.55,"no",0.31,NA,"yes","yes",7,1.13,0.05,NA,NA,0.03,0.09,NA,NA,NA,NA,NA,6.24,NA,NA,0.26,NA,0.03,NA,13.84,2.22,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",6.24,1.55,NA,NA,NA,2014,NA,6.24,0.00801282051282051,0.00801282051282051,0.181089743589744,0.181089743589744,0.008,0.000492125984251968,NA,0.183,0.470343392299688,0.0208116545265349,3.29,0.05,3.29,13.84,2.21794871794872,2.22,1.31,0.209935897435897,0.126210948573501,0.26,0.266,"Gadus morhua"
"IGE0203","178","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,1948,1948,73,100,100,3,"third dorsal at r1","morphology","no",1.49,"no",0.22,NA,"yes","yes",7,2.21,0.00023,NA,NA,0,0.05,NA,NA,NA,NA,NA,4.67,NA,NA,0.98,NA,0.023,NA,3.24,0.52,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",4.67,1.49,NA,NA,NA,2014,NA,4.67,4.92505353319058e-05,4.92505353319058e-05,0.473233404710921,0.473233404710921,0,0.00051413881748072,NA,0.514,0.995450655375884,0.000103598936984821,2.49428,0.00023,2.49428,3.24,0.693790149892934,0.52,2.348,0.502783725910064,1.02015880229524,0.98,2.298,"Gadus morhua"
"IGE0203","179","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2010,2010,73,100,100,3,"third dorsal at r2","morphology","no",1.61,"no",0.23,NA,"yes","yes",7,1.4,0.004,NA,NA,0.09,0,NA,NA,NA,NA,NA,4.89,NA,NA,0.46,NA,0.03,NA,4.62,0.94,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",4.89,1.61,NA,NA,NA,2014,NA,4.89,0.00081799591002045,0.00081799591002045,0.286298568507157,0.286298568507157,0.001,0.00049825610363727,NA,0.295,0.540102619497704,0.00154315034142201,1.904,0.004,1.904,4.62,0.94478527607362,0.94,1.58,0.323108384458078,0.400891862868637,0.46,0.497,"Gadus morhua"
"IGE0203","180","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2038,2038,73,100,100,3,"third dorsal at r3","morphology","no",1.77,"no",0.32,NA,"yes","yes",7,1.76,0.03,NA,NA,0,0,NA,NA,NA,NA,NA,6.73,NA,NA,0.22,NA,0.05,NA,15.59,2.31,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",6.73,1.77,NA,NA,NA,2014,NA,6.73,0.00445765230312036,0.00445765230312036,0.261515601783061,0.261515601783061,0.004,0.000491400491400491,NA,0.268,0.561779820613489,0.00957579239682084,3.44,0.03,3.44,15.59,2.31649331352155,2.31,2.06,0.306092124814264,0.217597069944622,0.22,0.224,"Gadus morhua"
"IGE0203","181","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,1945,1945,73,100,100,3,"caudal fin length at r1","morphology","no",2.34,"no",0.2,NA,"yes","yes",7,3.3,0,NA,NA,0,0.21,NA,NA,NA,NA,NA,3.38,NA,NA,NA,NA,0.002,NA,15.59,0.55,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",3.38,2.34,NA,NA,NA,2014,NA,3.38,0,0,0.976331360946746,0.976331360946746,0,0.000514933058702369,NA,2.212,0.602673679596757,0,3.324,0.1,6.924,15.59,4.61242603550296,0.55,3.312,0.979881656804734,0.00348155311911396,0.00348155311911396,0.003,"Gadus morhua"
"IGE0203","182","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2010,2010,73,100,100,3,"caudal fin length at r2","morphology","no",2.42,"no",0.29,NA,"yes","yes",7,3.36,0.001,NA,NA,0,0,NA,NA,NA,NA,NA,7.84,NA,NA,0.79,NA,0.004,NA,5.69,0.73,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",7.84,2.42,NA,NA,NA,2014,NA,7.84,0.000127551020408163,0.000127551020408163,0.428571428571429,0.428571428571429,0,0.00049825610363727,NA,0.458,0.573731302506659,0.000170753363841268,3.444,0.001,3.444,5.69,0.725765306122449,0.73,3.384,0.431632653061225,0.0690065559342354,0.79,1.071,"Gadus morhua"
"IGE0203","183","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2038,2038,73,100,100,3,"caudal fin length at r3","morphology","no",2.8,"no",0.34,NA,"yes","yes",7,4.29,0.013,NA,NA,0,0.15,NA,NA,NA,NA,NA,10.95,NA,NA,-0.21,NA,0.05,NA,10.95,0.7,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",10.95,2.8,NA,NA,NA,2014,NA,10.95,0.00118721461187215,0.00118721461187215,0.391780821917808,0.391780821917808,0.001,0.000491400491400491,NA,0.414,0.54719387755102,0.00165816326530612,5.358,0.013,5.358,10.95,1,0.7,4.59,0.419178082191781,0.211723800985839,-0.21,-0.213,"Gadus morhua"
"IGE0203","184","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2062,2062,73,100,100,3,"first dorsal erosion","morphology","no",23.09,"no",15.2,NA,"yes","yes",7,176.95,0.07,NA,NA,0.88,20.9,NA,NA,NA,NA,NA,213.7,NA,NA,0.51,NA,1.79,NA,276,1.29,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",213.7,23.09,NA,NA,NA,2014,NA,213.7,0.000327562002807674,0.000327562002807674,0.828029948525971,0.828029948525971,0,0.000485672656629432,NA,1.182,0.331896521810731,0.000131295600603285,200.95,0.07,200.95,276,1.29153018249883,1.29,187.69,0.878287318671034,0.508602777430191,0.51,0.563,"Gadus morhua"
"IGE0203","185","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2061,2061,73,100,100,3,"second dorsal erosion","morphology","no",14.32,"no",14.32,NA,"yes","yes",7,16.44,0.19,NA,NA,0,20.26,NA,NA,NA,NA,NA,84.14,NA,NA,0.3,NA,0.54,NA,114.9,1.37,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",84.14,14.32,NA,NA,NA,2014,NA,84.14,0.00225814119324935,0.00225814119324935,0.195388637984312,0.195388637984312,0.002,0.000485908649173955,NA,0.198,0.0801707187665803,0.000926547236353422,29.76,0.19,29.76,114.9,1.36558117423342,1.37,19.68,0.233895887806038,0.305538577781081,0.3,0.31,"Gadus morhua"
"IGE0203","186","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2060,2060,73,100,100,3,"third dorsal erosion","morphology","no",10.39,"no",10.39,NA,"yes","yes",7,0.09,0.03,NA,NA,0.71,6.05,NA,NA,NA,NA,NA,28.36,NA,NA,0.78,NA,0.04,NA,13.6,0.48,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",28.36,10.39,NA,NA,NA,2014,NA,28.36,0.00105782792665726,0.00105782792665726,0.00317348377997179,0.00317348377997179,0.001,0.000486144871171609,NA,0.003,0.000833703096095398,0.000277901032031799,1.65,0.03,1.65,13.6,0.479548660084626,0.48,0.33,0.0116361071932299,0.769800358919501,0.78,1.045,"Gadus morhua"
"IGE0203","187","2009","Gadus morhua","fish","Tromso, Norway","semicaptive","experimental","both","juv",2100,2060,2060,73,100,100,3,"caudal erosion","morphology","no",13.34,"no",13.34,NA,"yes","yes",7,3.54,0.05,NA,NA,4.71,8.1,NA,NA,NA,NA,NA,64.3,NA,NA,0.21,NA,0.09,NA,28.02,0.43,"Table 1 for means, T5-7 for variances","MM","V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
","FS","check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete","non_transf",NA,"gaussian",NA,"yes","Gadus morhua","Tromso_NOR","8","Revise",64.3,13.34,NA,NA,NA,2014,NA,64.3,0.000777604976671851,0.000777604976671851,0.055054432348367,0.055054432348367,0.001,0.000486144871171609,NA,0.055,0.019892602424425,0.000280968960796963,6.42,0.05,6.42,28.02,0.435769828926905,0.43,4.08,0.063452566096423,0.213922209843688,0.21,0.213,"Gadus morhua"
"IGE0242","32","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1876,1876,NA,NA,NA,NA,"average daily gain (ADG) period 1","development","no",100.125,"no",NA,NA,"no","yes",27.5,47.85,2.23,NA,NA,0.02,NA,NA,NA,NA,NA,732.32,NA,NA,NA,NA,NA,7.17,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,100.125,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000533902829684997,NA,NA,0.00477305989236301,0.000222443543573031,1993.8775,2.23,1993.8775,1993.8775,NA,NA,237.855,NA,0.694105927335732,0.694105927335732,0.856,"Bos taurus"
"IGE0242","33","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1874,1874,NA,NA,NA,NA,"average daily gain (ADG) period 2","development","no",105.25,"no",NA,NA,"no","yes",27.5,35.39,0.06,NA,NA,31.77,NA,NA,NA,NA,NA,255.96,NA,NA,NA,NA,NA,1.43,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,105.25,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000534473543559594,NA,NA,0.00319474613661625,5.41635400387044e-06,153.315,0.06,153.315,153.315,NA,NA,73.285,NA,0.981341422766843,0.981341422766843,2.333,"Bos taurus"
"IGE0242","34","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1867,1867,NA,NA,NA,NA,"average daily gain (ADG) period 3","development","no",106.5,"no",NA,NA,"no","yes",27.5,39.98,0.12,NA,NA,13.26,NA,NA,NA,NA,NA,152.84,NA,NA,NA,NA,NA,1.25,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,106.5,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000536480686695279,NA,NA,0.00352487381251515,1.05799113932421e-05,190.5,0.12,190.5,190.5,NA,NA,73.105,NA,0.570687020328059,0.570687020328059,0.649,"Bos taurus"
"IGE0242","35","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1866,1866,NA,NA,NA,NA,"average daily gain (ADG) period 4","development","no",108.125,"no",NA,NA,"no","yes",27.5,43.74,0.05,NA,NA,8.39,NA,NA,NA,NA,NA,120.6,NA,NA,NA,NA,NA,0.1,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,108.125,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000536768652710682,NA,NA,0.00374133449163019,4.27678839921147e-06,84.1525,0.05,84.1525,84.1525,NA,NA,46.39,NA,0.0676200688277983,0.0676200688277983,0.068,"Bos taurus"
"IGE0242","36","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1864,1864,NA,NA,NA,NA,"average daily gain (ADG) period 5","development","no",108.625,"no",NA,NA,"no","yes",27.5,47.66,0.08,NA,NA,4.13,NA,NA,NA,NA,NA,106.54,NA,NA,NA,NA,NA,0.77,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,108.625,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000537345513164965,NA,NA,0.00403919164257688,6.78001114994021e-06,144.65,0.08,144.65,144.65,NA,NA,68.065,NA,0.394338075557842,0.394338075557842,0.417,"Bos taurus"
"IGE0242","37","1972-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1863,1863,NA,NA,NA,NA,"average daily gain (ADG) period 6","development","no",108.375,"no",NA,NA,"no","yes",27.5,42.02,0.08,NA,NA,3.69,NA,NA,NA,NA,NA,94.8,NA,NA,NA,NA,NA,0.67,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; data extracted from Table 3 because Table 7 did not include the covariance; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,108.375,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000537634408602151,NA,NA,0.0035776497993186,6.81132755700828e-06,133.71,0.08,133.71,133.71,NA,NA,59.775,NA,0.365427969841271,0.365427969841271,0.383,"Bos taurus"
"IGE0242","38","1972-1974 and 1976-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,1634,1634,NA,NA,NA,NA,"average daily gain (ADG) period 7","development","no",106,"no",NA,NA,"no","yes",27.5,41.98,0.14,NA,NA,7.85,NA,NA,NA,NA,NA,92.35,NA,NA,NA,NA,NA,1.63,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,106,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.000613120784794605,NA,NA,0.00373620505517978,1.24599501601994e-05,226.685,0.14,226.685,226.685,NA,NA,85.175,NA,0.67236077551781,0.67236077551781,0.815,"Bos taurus"
"IGE0242","39","1972 and 1974 and 1978-1979","Bos taurus","mammals",NA,"captive","experimental","M","both",3649,946,946,NA,NA,NA,NA,"average daily gain (ADG) period 8","development","no",100.5,"no",NA,NA,"no","yes",27.5,27.13,0.04,NA,NA,3.8,NA,NA,NA,NA,NA,92.89,NA,NA,NA,NA,NA,1.02,NA,NA,NA,"Table 3","AST","Hereford bulls used; group size reported as a range between 25 and 30, so an approximate mean calculated for our purposes ((25+30)/2); age set to both because it is unclear at what age would bulls be considered adults, but the period studied seemingly cover both stages from juveniles to adult; Trait mean approximated as the mean of the yearly means provided in Table 1; V other 1 = pen id; estimates for BW as response not extracted because no competition effects could exist and the authors just ran it as a robustness test","MM","MM: to consider, given that you calculate by hand the trait mean, it also would be possible to calculate the SD, right?",NA,"non_transf",NA,"gaussian",NA,NA,"Bos taurus","AnimalResearch_US","9","Accept",NA,100.5,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,0.00106044538706257,NA,NA,0.00268607212692755,3.96029801242544e-06,109.28,0.04,109.28,109.28,NA,NA,54.16,NA,0.979141096643386,0.979141096643386,2.276,"Bos taurus"
"IGE0243","119","1999-2005","Sus scrofa","mammals","University of Nebraska Agricultural Research Development Center Swine Research Farm","captive","experimental","both","ad",61151,3524,3524,NA,NA,NA,25,"final body weight (BW)","morphology","no",93.43,"no",12.09,NA,"no","yes",10,45.7,0.1,NA,0,4.5,8.2,NA,NA,NA,NA,55,117.7,0.388,0,0.07,NA,0.2,NA,55.7,NA,"Table 1 (model 1)","FS","age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered permanent environment?); they also provide ige/vp = 0.001","DF","Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.","added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","AgriculturalResearch_US","10","Revise",117.7,93.43,NA,NA,NA,2010,117.783505154639,117.7,0.000849617672047579,0,0.388275276125743,0.388,0,0.000284010224368077,0,0.409,0.00523532325526351,1.14558495738808e-05,57.4,0.1,57.4,55.7,0.473237043330501,0.473237043330501,47.5,0.4035683942226,0.0935560539449976,0.07,0.07,"Sus scrofa"
"IGE0243","120","1999-2005","Sus scrofa","mammals","University of Nebraska Agricultural Research Development Center Swine Research Farm","captive","experimental","both","ad",61151,3512,3512,NA,NA,NA,25,"backfat depth","morphology","no",2.1,"no",0.5,NA,"no","yes",10,0.0972,2e-04,NA,NA,0.0066,0.0065,NA,NA,NA,NA,0.0952,0.214,0.453,0.001,0.078,NA,2e-04,NA,0.118,NA,"Table 2 (model 2)","FS","age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered ;permanent environment?); they also provide ige/vp = 0.001","DF","Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.","added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","AgriculturalResearch_US","10","Revise",0.214,2.1,NA,NA,NA,2010,0.214569536423841,0.214,0.000934579439252336,0.001,0.454205607476636,0.453,0.001,0.000284981476204047,0.001,0.488,0.0220408163265306,4.53514739229025e-05,0.117,2e-04,0.117,0.118,0.551401869158878,0.551401869158878,0.099,0.462616822429906,0.0453609211626514,0.078,0.078,"Sus scrofa"
